Participant,Media,Timeline,AOI,Total_duration_of_fixations,Average_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Average_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Number_of_saccades_in_AOI
4,Presentation5,T+P,M3-1-A,13907,172,81,58378,2.8321,18204,492,37,58378,23
4,Presentation5,T+P,M3-1-B,7728,161,48,70486,2.83172,9610,534,18,70486,15
4,Presentation5,T+P,M3-1-C,0,,0,,,0,,0,,0
4,Presentation5,T+P,M3-1-D,0,,0,,,0,,0,,0
4,Presentation5,T+P,P,30012,201,149,1808,2.83762,35741,760,47,1808,64
4,Presentation5,T+P,DELETE,54144,212,255,2554,2.69871,67901,2425,28,2554,146
4,Presentation5,T+P,DELETE,5280,143,37,2041,2.69318,8443,603,14,2041,9
4,Presentation5,T+P,Q,39938,177,226,46722,2.81075,56940,1898,30,46722,100
4,Presentation5,T+P,T,61139,204,300,2041,2.69841,79226,2201,36,2041,160
4,Presentation5,Entire Recording,M3-1-A,13907,172,81,104616,2.8321,18204,492,37,104616,23
4,Presentation5,Entire Recording,M3-1-B,7728,161,48,116724,2.83172,9610,534,18,116724,15
4,Presentation5,Entire Recording,M3-1-C,0,,0,,,0,,0,,0
4,Presentation5,Entire Recording,M3-1-D,0,,0,,,0,,0,,0
4,Presentation5,Entire Recording,P,30012,201,149,48045,2.83762,35741,760,47,48045,64
4,Presentation5,Entire Recording,DELETE,54144,212,255,48792,2.69871,67901,2425,28,48792,146
4,Presentation5,Entire Recording,DELETE,5280,143,37,48278,2.69318,8443,603,14,48278,9
4,Presentation5,Entire Recording,Q,39938,177,226,92959,2.81075,56940,1898,30,92959,100
4,Presentation5,Entire Recording,T,61139,204,300,48278,2.69841,79226,2201,36,48278,160
4,Presentation6,T+P,M3-2-A,23666,181,131,4385,2.73939,29942,651,46,4385,47
4,Presentation6,T+P,M3-2-B,8610,227,38,4685,2.76084,10459,805,13,4685,11
4,Presentation6,T+P,M3-2-C,1066,213,5,74277,2.88202,1116,279,4,74277,1
4,Presentation6,T+P,M3-2-D,0,,0,,,0,,0,,0
4,Presentation6,T+P,P,3131,209,15,957,2.94093,3528,392,9,957,4
4,Presentation6,T+P,DELETE,14540,194,75,10148,2.78082,19303,2413,8,10148,42
4,Presentation6,T+P,DELETE,10526,150,70,2287,2.77345,16688,1284,13,2287,27
4,Presentation6,T+P,Q,58054,186,312,4385,2.74825,85691,5356,16,4385,145
4,Presentation6,T+P,T,25798,175,147,374,2.79759,38038,2717,14,374,74
4,Presentation6,Entire Recording,M3-2-A,23666,181,131,76804,2.73939,29942,651,46,76804,47
4,Presentation6,Entire Recording,M3-2-B,8610,227,38,77104,2.76084,10459,805,13,77104,11
4,Presentation6,Entire Recording,M3-2-C,1066,213,5,146696,2.88202,1116,279,4,146696,1
4,Presentation6,Entire Recording,M3-2-D,0,,0,,,0,,0,,0
4,Presentation6,Entire Recording,P,3131,209,15,73376,2.94093,3528,392,9,73376,4
4,Presentation6,Entire Recording,DELETE,14540,194,75,82567,2.78082,19303,2413,8,82567,42
